Vendor Number,Vendor Name,Remit City,Tax ID,Status
V1000,Atlantic Diesel Works,Mobile,44-5529083,Active
V1001,Blue Ridge Marine Electronics,Portland,95-1187495,Active
V1002,Cormorant Rigging Co,Savannah,43-2001488,Active
V1003,Deepwater Hull Coatings,New Bedford,49-4209566,Active
V1004,Eastport Fastener Supply,Mobile,26-3091764,Active
V1005,Fathom Navigation Systems,Norfolk,43-7079637,Active
V1006,Gulfstream Propulsion,New Bedford,74-5089371,Active
V1007,Halyard Canvas & Upholstery,Mobile,50-9760594,Active
V1008,Inlet Hydraulics,Norfolk,77-3409312,Active
V1009,Jetty Point Fuel Depot,Mobile,17-9281045,Active
V1010,Keelson Composite Materials,Annapolis,29-9987504,Active
V1011,Lantern Bay Paint Supply,Norfolk,62-4120360,Active
V1012,Mainsail Textile Group,Mobile,37-7280535,Active
V1013,Northpoint Trailer Manufacturing,Charleston,50-1333816,Active
V1014,Offshore Safety Equipment,New Bedford,47-4551046,Active
V1015,Pelican Bay Woodworks,Annapolis,16-2009452,Active
V1016,Quarterdeck Instruments,Portland,56-5665344,Active
V1017,Riptide Engine Components,Charleston,34-1882921,Active
V1018,Seaward Metal Fabrication,Charleston,70-1286219,Active
V1019,Transom Machine Shop,Norfolk,77-4121419,Active
V1020,Undertow Dive Supply,Annapolis,68-4897244,Active
V1021,Vessel Glass & Acrylic,Norfolk,13-8610380,Active
V1022,Windward Chandlery,Norfolk,95-9734310,Active
V1023,Yardarm Industrial Coatings,Mobile,29-8825129,Active
V1024,Zephyr Sailmakers,Charleston,12-6781900,Active
V1025,Anchorline Freight Services,Portland,32-5629867,Active
V1026,Beacon Hill Insurance Brokers,Charleston,83-5565295,Active
V1027,Channel Marker Printing,Annapolis,91-9710801,Active
V1028,Dockside Waste Management,Charleston,21-9387564,Active
V1029,Estuary Environmental Testing,Portland,85-4091999,Active
V1030,Ferryman Logistics,Mobile,69-1028162,Active
V1031,Groundswell Marketing,Annapolis,12-2179540,Active
V1032,Harbormaster Software Licensing,Charleston,67-8723134,Active
V1033,Ironwood Pallet Company,Savannah,36-7872354,Active
V1034,Jubilee Uniform & Workwear,Norfolk,44-3178394,Active
V1035,Kingfisher Security Services,Norfolk,39-8273946,Active
V1036,Longshore Staffing Partners,Savannah,99-1231831,Active
V1037,Marlinspike Tool Rental,Mobile,35-9665190,Active
V1038,Harbor Marine Supply LLC,Norfolk,12-8850638,Active
V1039,"Harbour Marine Supply, L.L.C.",Norfolk,12-8850638,Active
V1040,Nautical Parts Inc,Norfolk,49-6339233,Active
V1041,"Nautical Parts, Inc.",Norfolk,49-6339233,Active
V1042,Coastal Fuel & Marine Services,Norfolk,10-5530008,Active
V1043,Coastal Fuel and Marine Svcs,Norfolk,10-5530008,Active
